scenario,CAPEX,spec_heat_tot,spec_power_tot,CO2_captured,OPEX_bd.Fixed,OPEX_bd.Electricity,OPEX_bd.Makeup-water,OPEX_bd.Adsorbent,OPEX_bd.Sink,OPEX_bd.npv_CO2_to_sink,power_bd.capture_unit,power_bd.VacuumPump,power_bd.FanVaneAxial,power_bd.IntercooledCondensingCompressor,power_bd.SteamGenerationSystem,power_bd.WaterCoolingGenerationSystem,electricity-input,heat-input,compression-electricity-input,FOM,investment,RH,T_feed
DAC_pypsa_CZ_heatpump_80_year_mean,27.58276424024672,7.6261911662162305,0.9217550153813464,4705.882352941176,17362470.523149334,23252223.393002618,1935083.2882151604,18274055.764775977,0.0,423760569.8206461,0.0,0.02630542548820397,0.012811884657690944,1.1657912066924663,2.3150068844457117,0.08546166411220238,0.5184119949745596,2.118386435060064,0.24773063142214916,3.1473405587492396,6.418164454152409,71.77631,10.584256
DAC_pypsa_CZ_heatpump_80_winter_mean,26.916233422025112,7.731641249187867,0.9201605988229874,4705.882352941177,17044714.858900156,23444938.55521162,1923158.6928409236,17739482.550307762,0.0,423760569.8206462,0.0,0.024970732926590473,0.012706306416237743,1.1651472728440835,2.347017315698228,0.08541691655247007,0.5248986452136243,2.1476781247744077,0.24759379547936777,3.1662518658633614,6.263071064387467,77.095566,1.9750947
DAC_pypsa_CZ_heatpump_80_summer_mean,28.58850489508377,8.082814346306586,0.9250738416648844,4705.882352941176,17841937.910258073,24182493.965529732,1976434.2699999618,19038523.979732938,0.0,423760569.8206461,0.0,0.02938141697340151,0.012657115167712972,1.1672083197084073,2.453619434599125,0.08675402528645496,0.5487625483056727,2.2452262073073848,0.24803176793803658,3.120474116386245,6.652187732774806,64.96154,20.643778
DAC_pypsa_DE_heatpump_80_year_mean,27.57611746893482,7.711793679134121,0.9214419098386138,4705.882352941175,17359301.803600922,23428886.849310115,1975746.881223452,18257394.35833727,0.0,423760569.8206461,0.0,0.026082571287345004,0.012749315109074288,1.1656673421507882,2.3409923865674855,0.08727802960181778,0.5242592392952162,2.142164910870589,0.24770431020704256,3.147524633073638,6.416617833552773,73.74203,10.262674
DAC_pypsa_DE_heatpump_80_summer_mean,28.435816796347485,7.929381593701237,0.9247390721487668,4705.882352941177,17769146.815067086,23871178.46006587,1945725.3046546918,18933070.516156174,0.0,423760569.8206462,0.0,0.029030019676234337,0.01272099871884379,1.167058226243833,2.40704338230262,0.08549661133401382,0.5385368400567387,2.2026059982503434,0.2479998730768145,3.124430527585459,6.616659120800104,64.82246,19.39493
DAC_pypsa_DE_heatpump_80_winter_mean,27.06048362123484,8.016978026291499,0.9195118799202237,4705.882352941177,17113483.34884074,24038770.778876685,2066878.746355307,17811235.74381268,0.0,423760569.8206462,0.0,0.024662628985904534,0.012375650150773715,1.164938034484529,2.4336341587570156,0.09172481860137942,0.5445094170052031,2.2269383406365275,0.24754933232796242,3.1620800995979774,6.296636282616082,82.349724,2.783738
DAC_pypsa_DK_heatpump_80_year_mean,27.54022022384116,7.954912669564561,0.9205811346380256,4705.882352941177,17342188.486935552,23929474.233909845,2085747.7880710163,18193456.31950151,0.0,423760569.8206462,0.0,0.02548201551993219,0.012558404809651981,1.1653336118769853,2.4147935966760454,0.09222066954963962,0.5408241208929947,2.2096979637679337,0.24763339252385938,3.1485202997619233,6.408264993335039,79.06481,9.025889
DAC_pypsa_DK_heatpump_80_summer_mean,28.270063103463976,8.157827448584515,0.9224394511082624,4705.882352941177,17690126.95080262,24359098.796237268,2156210.2993406085,18746367.479651794,0.0,423760569.8206462,0.0,0.02716768826331672,0.01253034526258264,1.166105170537189,2.476390414818757,0.09481018197209823,0.5548159589423103,2.266063180162365,0.24779734873915263,3.1287738704472545,6.5780903083872735,75.617645,16.953875
DAC_pypsa_DK_heatpump_80_winter_mean,27.04051976681657,8.14712190701725,0.9192730447774362,4705.882352941177,17103965.967726123,24306984.53625405,2119608.7946087937,17777934.32331928,0.0,423760569.8206462,0.0,0.024470060150607494,0.012373547814675312,1.1648205028548952,2.473140640207844,0.09411846524921555,0.5533718266022477,2.2630894186159023,0.24752435685666527,3.1626548075299334,6.29199094324113,84.772285,2.022199
DAC_pypsa_EE_heatpump_80_winter_mean,26.71494032186151,8.163569984972682,0.9189684698654764,4705.8823529411775,16948752.270220574,24325803.151234213,2074686.0812767188,17525597.78422665,0.0,423760569.82064635,0.0,0.02432206617126809,0.012197432658722971,1.1647464748503706,2.4781336193861536,0.09244154644349328,0.5540076162401728,2.267658329159078,0.2475086259057037,3.1721486303210984,6.216232676143148,87.527504,-2.3938696
