name,investment,FOM,fixed
AL0 0,6.44421152239087,3.144253785985722,810910.3444765769
AT0 0,6.44421152239087,3.144253785985722,810910.3444765769
BA0 0,6.44421152239087,3.144253785985722,810910.3444765769
BE0 0,6.44421152239087,3.144253785985722,810910.3444765769
BE0 1,6.44421152239087,3.144253785985722,810910.3444765769
BG0 0,6.44421152239087,3.144253785985722,810910.3444765769
CH0 0,6.44421152239087,3.144253785985722,810910.3444765769
CZ0 0,6.44421152239087,3.144253785985722,810910.3444765769
DE0 0,6.44421152239087,3.144253785985722,810910.3444765769
DE0 1,6.44421152239087,3.144253785985722,810910.3444765769
DE0 10,6.44421152239087,3.144253785985722,810910.3444765769
DE0 11,6.44421152239087,3.144253785985722,810910.3444765769
DE0 12,6.44421152239087,3.144253785985722,810910.3444765769
DE0 2,6.44421152239087,3.144253785985722,810910.3444765769
DE0 3,6.44421152239087,3.144253785985722,810910.3444765769
DE0 4,6.44421152239087,3.144253785985722,810910.3444765769
DE0 5,6.44421152239087,3.144253785985722,810910.3444765769
DE0 6,6.44421152239087,3.144253785985722,810910.3444765769
DE0 7,6.44421152239087,3.144253785985722,810910.3444765769
DE0 8,6.44421152239087,3.144253785985722,810910.3444765769
DE0 9,6.44421152239087,3.144253785985722,810910.3444765769
DK0 0,6.386848647982381,3.1510850478478702,804128.3629376604
DK1 0,6.386848647982381,3.1510850478478702,804128.3629376604
EE0 0,6.386848647982381,3.1510850478478702,804128.3629376604
ES0 0,6.588562552753432,3.1275895323422684,827976.8885285886
ES0 1,6.588562552753432,3.1275895323422684,827976.8885285886
ES0 2,6.588562552753432,3.1275895323422684,827976.8885285886
ES0 3,6.588562552753432,3.1275895323422684,827976.8885285886
ES0 4,6.588562552753432,3.1275895323422684,827976.8885285886
ES0 5,6.588562552753432,3.1275895323422684,827976.8885285886
ES6 0,6.588562552753432,3.1275895323422684,827976.8885285886
FI1 0,6.386848647982381,3.1510850478478702,804128.3629376604
FR0 0,6.44421152239087,3.144253785985722,810910.3444765769
FR0 1,6.44421152239087,3.144253785985722,810910.3444765769
FR0 10,6.44421152239087,3.144253785985722,810910.3444765769
FR0 11,6.44421152239087,3.144253785985722,810910.3444765769
FR0 12,6.44421152239087,3.144253785985722,810910.3444765769
FR0 2,6.44421152239087,3.144253785985722,810910.3444765769
FR0 3,6.44421152239087,3.144253785985722,810910.3444765769
FR0 4,6.44421152239087,3.144253785985722,810910.3444765769
FR0 5,6.44421152239087,3.144253785985722,810910.3444765769
FR0 6,6.44421152239087,3.144253785985722,810910.3444765769
FR0 7,6.44421152239087,3.144253785985722,810910.3444765769
FR0 8,6.44421152239087,3.144253785985722,810910.3444765769
FR0 9,6.44421152239087,3.144253785985722,810910.3444765769
FR5 0,6.44421152239087,3.144253785985722,810910.3444765769
GB2 0,6.44421152239087,3.144253785985722,810910.3444765769
GB2 1,6.44421152239087,3.144253785985722,810910.3444765769
GB2 2,6.44421152239087,3.144253785985722,810910.3444765769
GB2 3,6.44421152239087,3.144253785985722,810910.3444765769
GB2 4,6.44421152239087,3.144253785985722,810910.3444765769
GB2 5,6.44421152239087,3.144253785985722,810910.3444765769
GB2 6,6.44421152239087,3.144253785985722,810910.3444765769
GB2 7,6.44421152239087,3.144253785985722,810910.3444765769
GB3 0,6.44421152239087,3.144253785985722,810910.3444765769
GR0 0,6.588562552753432,3.1275895323422684,827976.8885285886
HR0 0,6.44421152239087,3.144253785985722,810910.3444765769
HU0 0,6.44421152239087,3.144253785985722,810910.3444765769
IE3 0,6.452513557453899,3.143275170034886,811891.8895806795
IT0 0,6.44421152239087,3.144253785985722,810910.3444765769
IT0 1,6.44421152239087,3.144253785985722,810910.3444765769
IT0 2,6.44421152239087,3.144253785985722,810910.3444765769
IT0 3,6.44421152239087,3.144253785985722,810910.3444765769
IT0 4,6.44421152239087,3.144253785985722,810910.3444765769
IT0 5,6.44421152239087,3.144253785985722,810910.3444765769
IT0 6,6.44421152239087,3.144253785985722,810910.3444765769
IT0 7,6.44421152239087,3.144253785985722,810910.3444765769
IT4 0,6.44421152239087,3.144253785985722,810910.3444765769
LT0 0,6.386848647982381,3.1510850478478702,804128.3629376604
LU0 0,6.44421152239087,3.144253785985722,810910.3444765769
LV0 0,6.386848647982381,3.1510850478478702,804128.3629376604
ME0 0,6.44421152239087,3.144253785985722,810910.3444765769
MK0 0,6.44421152239087,3.144253785985722,810910.3444765769
NL0 0,6.44421152239087,3.144253785985722,810910.3444765769
NL0 1,6.44421152239087,3.144253785985722,810910.3444765769
NO1 0,6.362066743503021,3.1540743944524654,801198.4118079217
NO1 1,6.362066743503021,3.1540743944524654,801198.4118079217
NO1 2,6.362066743503021,3.1540743944524654,801198.4118079217
PL0 0,6.44421152239087,3.144253785985722,810910.3444765769
PL0 1,6.44421152239087,3.144253785985722,810910.3444765769
PL0 2,6.44421152239087,3.144253785985722,810910.3444765769
PT0 0,6.588562552753432,3.1275895323422684,827976.8885285886
RO0 0,6.44421152239087,3.144253785985722,810910.3444765769
RS0 0,6.44421152239087,3.144253785985722,810910.3444765769
SE1 0,6.386848647982381,3.1510850478478702,804128.3629376604
SE1 1,6.386848647982381,3.1510850478478702,804128.3629376604
SE1 2,6.386848647982381,3.1510850478478702,804128.3629376604
SI0 0,6.44421152239087,3.144253785985722,810910.3444765769
SK0 0,6.44421152239087,3.144253785985722,810910.3444765769
XK0 0,6.44421152239087,3.144253785985722,810910.3444765769
